model,nmse_0,nmse_1,nmse_2,nmse_3,nmse_4,nmse_5,nmse_mean,data_file,equation,debias_threshold,model_alpha,weight_eps,weight_std
120_model,,,,,,,,hydrogen_bromine_ode.csv,hydrogen_bromine,1e2,0.7757786350021516,0.0009469378911995572,0.0001
136_model,,,,,,,,hydrogen_bromine_ode.csv,hydrogen_bromine,1e2,19.922733052162783,4.4449784710683543e-07,0.001
167_model,,,,,,,,hydrogen_bromine_ode.csv,hydrogen_bromine,1e2,147895.6008985279,1.7210347976595495e-05,0.01
117_model,,,,,,,,hydrogen_bromine_ode.csv,hydrogen_bromine,1e2,927.8933539638202,0.055548591807154254,0.0001
47_model,,,,,,,,hydrogen_bromine_ode.csv,hydrogen_bromine,1e2,147895.6008985279,1.7210347976595495e-05,1e-06
53_model,,,,,,,,hydrogen_bromine_ode.csv,hydrogen_bromine,1e2,47963.634378534756,0.0020148991027690694,1e-06
164_model,,,,,,,,hydrogen_bromine_ode.csv,hydrogen_bromine,1e2,1.035332122467128e-06,6.461810446057677e-06,0.01
130_model,,,,,,,,hydrogen_bromine_ode.csv,hydrogen_bromine,1e2,0.0690545431362753,5.278230456536132e-05,0.001
40_model,,,,,,,,hydrogen_bromine_ode.csv,hydrogen_bromine,1e2,0.0690545431362753,5.278230456536132e-05,1e-06
138_model,,,,,,,,hydrogen_bromine_ode.csv,hydrogen_bromine,1e2,0.00011228413129239159,1.2491870327582288e-06,0.001
123_model,,,,,,,,hydrogen_bromine_ode.csv,hydrogen_bromine,1e2,2.7039662430093773e-05,1.1263537238115918e-05,0.001
192_model,,,,,,,,hydrogen_bromine_ode.csv,hydrogen_bromine,1e2,0.24676368684401048,0.0003338180205189919,0.1
185_model,,,,,,,,hydrogen_bromine_ode.csv,hydrogen_bromine,1e2,0.009808669434503627,0.0039522808482593125,0.1
129_model,,,,,,,,hydrogen_bromine_ode.csv,hydrogen_bromine,1e2,2466.160386850043,0.010342237509875594,0.001
63_model,,,,,,,,hydrogen_bromine_ode.csv,hydrogen_bromine,1e2,2.7039662430093773e-05,1.1263537238115918e-05,1e-05
74_model,,,,,,,,hydrogen_bromine_ode.csv,hydrogen_bromine,1e2,1.035332122467128e-06,6.461810446057677e-06,1e-05
54_model,,,,,,,,hydrogen_bromine_ode.csv,hydrogen_bromine,1e2,202630.7170037328,0.004043336833529763,1e-06
183_model,,,,,,,,hydrogen_bromine_ode.csv,hydrogen_bromine,1e2,2.7039662430093773e-05,1.1263537238115918e-05,0.1
173_model,,,,,,,,hydrogen_bromine_ode.csv,hydrogen_bromine,1e2,47963.634378534756,0.0020148991027690694,0.01
111_model,,,,,,,,hydrogen_bromine_ode.csv,hydrogen_bromine,1e2,0.002007566187578647,1.7594534826497084e-06,0.0001
152_model,,,,,,,,hydrogen_bromine_ode.csv,hydrogen_bromine,1e2,188.19349978921883,0.0012137587328424069,0.01
87_model,,,,,,,,hydrogen_bromine_ode.csv,hydrogen_bromine,1e2,927.8933539638202,0.055548591807154254,1e-05
84_model,,,,,,,,hydrogen_bromine_ode.csv,hydrogen_bromine,1e2,202630.7170037328,0.004043336833529763,1e-05
160_model,,,,,,,,hydrogen_bromine_ode.csv,hydrogen_bromine,1e2,0.0690545431362753,5.278230456536132e-05,0.01
9_model,,,,,,,,hydrogen_bromine_ode.csv,hydrogen_bromine,1e2,2466.160386850043,0.010342237509875594,0.0
86_model,,,,,,,,hydrogen_bromine_ode.csv,hydrogen_bromine,1e2,8.575795876872198e-05,9.440619113735458e-07,1e-05
14_model,,,,,,,,hydrogen_bromine_ode.csv,hydrogen_bromine,1e2,1.035332122467128e-06,6.461810446057677e-06,0.0
156_model,,,,,,,,hydrogen_bromine_ode.csv,hydrogen_bromine,1e2,13.053743027024927,0.00010098468450572415,0.01
187_model,,,,,,,,hydrogen_bromine_ode.csv,hydrogen_bromine,1e2,2.8317284209433966e-06,3.301703102308238e-06,0.1
15_model,,,,,,,,hydrogen_bromine_ode.csv,hydrogen_bromine,1e2,0.00034364078868532217,0.007180389990094034,0.0
148_model,,,,,,,,hydrogen_bromine_ode.csv,hydrogen_bromine,1e2,6002.28238334061,0.00022303628790345937,0.001
142_model,,,,,,,,hydrogen_bromine_ode.csv,hydrogen_bromine,1e2,795261.8231250104,0.01586752352583566,0.001
128_model,,,,,,,,hydrogen_bromine_ode.csv,hydrogen_bromine,1e2,0.01888717029071998,1.6969191344518737e-07,0.001
94_model,,,,,,,,hydrogen_bromine_ode.csv,hydrogen_bromine,1e2,99.94844112826969,4.995812711851579e-06,0.0001
135_model,,,,,,,,hydrogen_bromine_ode.csv,hydrogen_bromine,1e2,0.00034364078868532217,0.007180389990094034,0.001
171_model,,,,,,,,hydrogen_bromine_ode.csv,hydrogen_bromine,1e2,0.002007566187578647,1.7594534826497084e-06,0.01
191_model,,,,,,,,hydrogen_bromine_ode.csv,hydrogen_bromine,1e2,7.986077504186377e-06,1.225378847302896e-07,0.1
132_model,,,,,,,,hydrogen_bromine_ode.csv,hydrogen_bromine,1e2,0.24676368684401048,0.0003338180205189919,0.001
95_model,,,,,,,,hydrogen_bromine_ode.csv,hydrogen_bromine,1e2,0.009808669434503627,0.0039522808482593125,0.0001
33_model,,,,,,,,hydrogen_bromine_ode.csv,hydrogen_bromine,1e2,2.7039662430093773e-05,1.1263537238115918e-05,1e-06
199_model,,,,,,,,hydrogen_bromine_ode.csv,hydrogen_bromine,1e2,2.206398496897977,6.550444410687666e-05,0.1
6_model,,,,,,,,hydrogen_bromine_ode.csv,hydrogen_bromine,1e2,13.053743027024927,0.00010098468450572415,0.0
38_model,,,,,,,,hydrogen_bromine_ode.csv,hydrogen_bromine,1e2,0.01888717029071998,1.6969191344518737e-07,1e-06
64_model,,,,,,,,hydrogen_bromine_ode.csv,hydrogen_bromine,1e2,99.94844112826969,4.995812711851579e-06,1e-05
133_model,,,,,,,,hydrogen_bromine_ode.csv,hydrogen_bromine,1e2,13655.209039314652,0.034701335910491224,0.001
71_model,,,,,,,,hydrogen_bromine_ode.csv,hydrogen_bromine,1e2,7.986077504186377e-06,1.225378847302896e-07,1e-05
39_model,,,,,,,,hydrogen_bromine_ode.csv,hydrogen_bromine,1e2,2466.160386850043,0.010342237509875594,1e-06
155_model,,,,,,,,hydrogen_bromine_ode.csv,hydrogen_bromine,1e2,0.009808669434503627,0.0039522808482593125,0.01
196_model,,,,,,,,hydrogen_bromine_ode.csv,hydrogen_bromine,1e2,19.922733052162783,4.4449784710683543e-07,0.1
126_model,,,,,,,,hydrogen_bromine_ode.csv,hydrogen_bromine,1e2,13.053743027024927,0.00010098468450572415,0.001
91_model,,,,,,,,hydrogen_bromine_ode.csv,hydrogen_bromine,1e2,286.52162191429545,3.323668111696107e-07,0.0001
92_model,,,,,,,,hydrogen_bromine_ode.csv,hydrogen_bromine,1e2,188.19349978921883,0.0012137587328424069,0.0001
46_model,,,,,,,,hydrogen_bromine_ode.csv,hydrogen_bromine,1e2,19.922733052162783,4.4449784710683543e-07,1e-06
179_model,,,,,,,,hydrogen_bromine_ode.csv,hydrogen_bromine,1e2,0.05682963421204889,2.621017928780525e-05,0.01
78_model,,,,,,,,hydrogen_bromine_ode.csv,hydrogen_bromine,1e2,0.00011228413129239159,1.2491870327582288e-06,1e-05
60_model,,,,,,,,hydrogen_bromine_ode.csv,hydrogen_bromine,1e2,0.7757786350021516,0.0009469378911995572,1e-06
44_model,,,,,,,,hydrogen_bromine_ode.csv,hydrogen_bromine,1e2,1.035332122467128e-06,6.461810446057677e-06,1e-06
150_model,,,,,,,,hydrogen_bromine_ode.csv,hydrogen_bromine,1e2,0.7757786350021516,0.0009469378911995572,0.001
140_model,,,,,,,,hydrogen_bromine_ode.csv,hydrogen_bromine,1e2,0.0015436272481452666,0.0005076315792529729,0.001
77_model,,,,,,,,hydrogen_bromine_ode.csv,hydrogen_bromine,1e2,147895.6008985279,1.7210347976595495e-05,1e-05
202_model,,,,,,,,hydrogen_bromine_ode.csv,hydrogen_bromine,1e2,795261.8231250104,0.01586752352583566,0.1
10_model,,,,,,,,hydrogen_bromine_ode.csv,hydrogen_bromine,1e2,0.0690545431362753,5.278230456536132e-05,0.0
189_model,,,,,,,,hydrogen_bromine_ode.csv,hydrogen_bromine,1e2,2466.160386850043,0.010342237509875594,0.1
4_model,,,,,,,,hydrogen_bromine_ode.csv,hydrogen_bromine,1e2,99.94844112826969,4.995812711851579e-06,0.0
99_model,,,,,,,,hydrogen_bromine_ode.csv,hydrogen_bromine,1e2,2466.160386850043,0.010342237509875594,0.0001
69_model,,,,,,,,hydrogen_bromine_ode.csv,hydrogen_bromine,1e2,2466.160386850043,0.010342237509875594,1e-05
93_model,,,,,,,,hydrogen_bromine_ode.csv,hydrogen_bromine,1e2,2.7039662430093773e-05,1.1263537238115918e-05,0.0001
103_model,,,,,,,,hydrogen_bromine_ode.csv,hydrogen_bromine,1e2,13655.209039314652,0.034701335910491224,0.0001
206_model,,,,,,,,hydrogen_bromine_ode.csv,hydrogen_bromine,1e2,8.575795876872198e-05,9.440619113735458e-07,0.1
67_model,,,,,,,,hydrogen_bromine_ode.csv,hydrogen_bromine,1e2,2.8317284209433966e-06,3.301703102308238e-06,1e-05
141_model,,,,,,,,hydrogen_bromine_ode.csv,hydrogen_bromine,1e2,0.002007566187578647,1.7594534826497084e-06,0.001
201_model,,,,,,,,hydrogen_bromine_ode.csv,hydrogen_bromine,1e2,0.002007566187578647,1.7594534826497084e-06,0.1
105_model,,,,,,,,hydrogen_bromine_ode.csv,hydrogen_bromine,1e2,0.00034364078868532217,0.007180389990094034,0.0001
145_model,,,,,,,,hydrogen_bromine_ode.csv,hydrogen_bromine,1e2,6.170375743661441,0.09508538688996053,0.001
162_model,,,,,,,,hydrogen_bromine_ode.csv,hydrogen_bromine,1e2,0.24676368684401048,0.0003338180205189919,0.01
122_model,,,,,,,,hydrogen_bromine_ode.csv,hydrogen_bromine,1e2,188.19349978921883,0.0012137587328424069,0.001
180_model,,,,,,,,hydrogen_bromine_ode.csv,hydrogen_bromine,1e2,0.7757786350021516,0.0009469378911995572,0.01
108_model,,,,,,,,hydrogen_bromine_ode.csv,hydrogen_bromine,1e2,0.00011228413129239159,1.2491870327582288e-06,0.0001
151_model,,,,,,,,hydrogen_bromine_ode.csv,hydrogen_bromine,1e2,286.52162191429545,3.323668111696107e-07,0.01
203_model,,,,,,,,hydrogen_bromine_ode.csv,hydrogen_bromine,1e2,47963.634378534756,0.0020148991027690694,0.1
193_model,,,,,,,,hydrogen_bromine_ode.csv,hydrogen_bromine,1e2,13655.209039314652,0.034701335910491224,0.1
62_model,,,,,,,,hydrogen_bromine_ode.csv,hydrogen_bromine,1e2,188.19349978921883,0.0012137587328424069,1e-05
28_model,,,,,,,,hydrogen_bromine_ode.csv,hydrogen_bromine,1e2,6002.28238334061,0.00022303628790345937,0.0
34_model,,,,,,,,hydrogen_bromine_ode.csv,hydrogen_bromine,1e2,99.94844112826969,4.995812711851579e-06,1e-06
161_model,,,,,,,,hydrogen_bromine_ode.csv,hydrogen_bromine,1e2,7.986077504186377e-06,1.225378847302896e-07,0.01
169_model,,,,,,,,hydrogen_bromine_ode.csv,hydrogen_bromine,1e2,2.206398496897977,6.550444410687666e-05,0.01
43_model,,,,,,,,hydrogen_bromine_ode.csv,hydrogen_bromine,1e2,13655.209039314652,0.034701335910491224,1e-06
81_model,,,,,,,,hydrogen_bromine_ode.csv,hydrogen_bromine,1e2,0.002007566187578647,1.7594534826497084e-06,1e-05
158_model,,,,,,,,hydrogen_bromine_ode.csv,hydrogen_bromine,1e2,0.01888717029071998,1.6969191344518737e-07,0.01
181_model,,,,,,,,hydrogen_bromine_ode.csv,hydrogen_bromine,1e2,286.52162191429545,3.323668111696107e-07,0.1
5_model,,,,,,,,hydrogen_bromine_ode.csv,hydrogen_bromine,1e2,0.009808669434503627,0.0039522808482593125,0.0
176_model,,,,,,,,hydrogen_bromine_ode.csv,hydrogen_bromine,1e2,8.575795876872198e-05,9.440619113735458e-07,0.01
210_model,,,,,,,,hydrogen_bromine_ode.csv,hydrogen_bromine,1e2,0.7757786350021516,0.0009469378911995572,0.1
32_model,,,,,,,,hydrogen_bromine_ode.csv,hydrogen_bromine,1e2,188.19349978921883,0.0012137587328424069,1e-06
20_model,,,,,,,,hydrogen_bromine_ode.csv,hydrogen_bromine,1e2,0.0015436272481452666,0.0005076315792529729,0.0
113_model,,,,,,,,hydrogen_bromine_ode.csv,hydrogen_bromine,1e2,47963.634378534756,0.0020148991027690694,0.0001
89_model,,,,,,,,hydrogen_bromine_ode.csv,hydrogen_bromine,1e2,0.05682963421204889,2.621017928780525e-05,1e-05
8_model,,,,,,,,hydrogen_bromine_ode.csv,hydrogen_bromine,1e2,0.01888717029071998,1.6969191344518737e-07,0.0
118_model,,,,,,,,hydrogen_bromine_ode.csv,hydrogen_bromine,1e2,6002.28238334061,0.00022303628790345937,0.0001
11_model,,,,,,,,hydrogen_bromine_ode.csv,hydrogen_bromine,1e2,7.986077504186377e-06,1.225378847302896e-07,0.0
174_model,,,,,,,,hydrogen_bromine_ode.csv,hydrogen_bromine,1e2,202630.7170037328,0.004043336833529763,0.01
195_model,292848.60198707023,28985.001423797094,173566.17358422838,8673997.917070838,181684.48477661543,4548165652.446318,759586122.4375267,hydrogen_bromine_ode.csv,hydrogen_bromine,1e2,0.00034364078868532217,0.007180389990094034,0.1
178_model,,,,,,,,hydrogen_bromine_ode.csv,hydrogen_bromine,1e2,6002.28238334061,0.00022303628790345937,0.01
12_model,,,,,,,,hydrogen_bromine_ode.csv,hydrogen_bromine,1e2,0.24676368684401048,0.0003338180205189919,0.0
143_model,,,,,,,,hydrogen_bromine_ode.csv,hydrogen_bromine,1e2,47963.634378534756,0.0020148991027690694,0.001
209_model,,,,,,,,hydrogen_bromine_ode.csv,hydrogen_bromine,1e2,0.05682963421204889,2.621017928780525e-05,0.1
66_model,,,,,,,,hydrogen_bromine_ode.csv,hydrogen_bromine,1e2,13.053743027024927,0.00010098468450572415,1e-05
17_model,,,,,,,,hydrogen_bromine_ode.csv,hydrogen_bromine,1e2,147895.6008985279,1.7210347976595495e-05,0.0
80_model,,,,,,,,hydrogen_bromine_ode.csv,hydrogen_bromine,1e2,0.0015436272481452666,0.0005076315792529729,1e-05
16_model,,,,,,,,hydrogen_bromine_ode.csv,hydrogen_bromine,1e2,19.922733052162783,4.4449784710683543e-07,0.0
50_model,,,,,,,,hydrogen_bromine_ode.csv,hydrogen_bromine,1e2,0.0015436272481452666,0.0005076315792529729,1e-06
168_model,,,,,,,,hydrogen_bromine_ode.csv,hydrogen_bromine,1e2,0.00011228413129239159,1.2491870327582288e-06,0.01
21_model,,,,,,,,hydrogen_bromine_ode.csv,hydrogen_bromine,1e2,0.002007566187578647,1.7594534826497084e-06,0.0
106_model,,,,,,,,hydrogen_bromine_ode.csv,hydrogen_bromine,1e2,19.922733052162783,4.4449784710683543e-07,0.0001
107_model,,,,,,,,hydrogen_bromine_ode.csv,hydrogen_bromine,1e2,147895.6008985279,1.7210347976595495e-05,0.0001
35_model,,,,,,,,hydrogen_bromine_ode.csv,hydrogen_bromine,1e2,0.009808669434503627,0.0039522808482593125,1e-06
144_model,,,,,,,,hydrogen_bromine_ode.csv,hydrogen_bromine,1e2,202630.7170037328,0.004043336833529763,0.001
198_model,,,,,,,,hydrogen_bromine_ode.csv,hydrogen_bromine,1e2,0.00011228413129239159,1.2491870327582288e-06,0.1
59_model,,,,,,,,hydrogen_bromine_ode.csv,hydrogen_bromine,1e2,0.05682963421204889,2.621017928780525e-05,1e-06
75_model,275562421609153.9,18381.120595728495,163571806083946.22,51470012.68066013,3.719824535493123e+17,1.2715278044390123e+25,2.1192130694686185e+24,hydrogen_bromine_ode.csv,hydrogen_bromine,1e2,0.00034364078868532217,0.007180389990094034,1e-05
90_model,,,,,,,,hydrogen_bromine_ode.csv,hydrogen_bromine,1e2,0.7757786350021516,0.0009469378911995572,1e-05
25_model,,,,,,,,hydrogen_bromine_ode.csv,hydrogen_bromine,1e2,6.170375743661441,0.09508538688996053,0.0
52_model,,,,,,,,hydrogen_bromine_ode.csv,hydrogen_bromine,1e2,795261.8231250104,0.01586752352583566,1e-06
116_model,,,,,,,,hydrogen_bromine_ode.csv,hydrogen_bromine,1e2,8.575795876872198e-05,9.440619113735458e-07,0.0001
96_model,,,,,,,,hydrogen_bromine_ode.csv,hydrogen_bromine,1e2,13.053743027024927,0.00010098468450572415,0.0001
51_model,,,,,,,,hydrogen_bromine_ode.csv,hydrogen_bromine,1e2,0.002007566187578647,1.7594534826497084e-06,1e-06
37_model,,,,,,,,hydrogen_bromine_ode.csv,hydrogen_bromine,1e2,2.8317284209433966e-06,3.301703102308238e-06,1e-06
26_model,,,,,,,,hydrogen_bromine_ode.csv,hydrogen_bromine,1e2,8.575795876872198e-05,9.440619113735458e-07,0.0
188_model,,,,,,,,hydrogen_bromine_ode.csv,hydrogen_bromine,1e2,0.01888717029071998,1.6969191344518737e-07,0.1
3_model,,,,,,,,hydrogen_bromine_ode.csv,hydrogen_bromine,1e2,2.7039662430093773e-05,1.1263537238115918e-05,0.0
76_model,,,,,,,,hydrogen_bromine_ode.csv,hydrogen_bromine,1e2,19.922733052162783,4.4449784710683543e-07,1e-05
48_model,,,,,,,,hydrogen_bromine_ode.csv,hydrogen_bromine,1e2,0.00011228413129239159,1.2491870327582288e-06,1e-06
2_model,,,,,,,,hydrogen_bromine_ode.csv,hydrogen_bromine,1e2,188.19349978921883,0.0012137587328424069,0.0
68_model,,,,,,,,hydrogen_bromine_ode.csv,hydrogen_bromine,1e2,0.01888717029071998,1.6969191344518737e-07,1e-05
119_model,,,,,,,,hydrogen_bromine_ode.csv,hydrogen_bromine,1e2,0.05682963421204889,2.621017928780525e-05,0.0001
30_model,,,,,,,,hydrogen_bromine_ode.csv,hydrogen_bromine,1e2,0.7757786350021516,0.0009469378911995572,0.0
72_model,,,,,,,,hydrogen_bromine_ode.csv,hydrogen_bromine,1e2,0.24676368684401048,0.0003338180205189919,1e-05
13_model,,,,,,,,hydrogen_bromine_ode.csv,hydrogen_bromine,1e2,13655.209039314652,0.034701335910491224,0.0
205_model,,,,,,,,hydrogen_bromine_ode.csv,hydrogen_bromine,1e2,6.170375743661441,0.09508538688996053,0.1
177_model,,,,,,,,hydrogen_bromine_ode.csv,hydrogen_bromine,1e2,927.8933539638202,0.055548591807154254,0.01
23_model,,,,,,,,hydrogen_bromine_ode.csv,hydrogen_bromine,1e2,47963.634378534756,0.0020148991027690694,0.0
115_model,,,,,,,,hydrogen_bromine_ode.csv,hydrogen_bromine,1e2,6.170375743661441,0.09508538688996053,0.0001
131_model,,,,,,,,hydrogen_bromine_ode.csv,hydrogen_bromine,1e2,7.986077504186377e-06,1.225378847302896e-07,0.001
134_model,,,,,,,,hydrogen_bromine_ode.csv,hydrogen_bromine,1e2,1.035332122467128e-06,6.461810446057677e-06,0.001
18_model,,,,,,,,hydrogen_bromine_ode.csv,hydrogen_bromine,1e2,0.00011228413129239159,1.2491870327582288e-06,0.0
36_model,,,,,,,,hydrogen_bromine_ode.csv,hydrogen_bromine,1e2,13.053743027024927,0.00010098468450572415,1e-06
83_model,,,,,,,,hydrogen_bromine_ode.csv,hydrogen_bromine,1e2,47963.634378534756,0.0020148991027690694,1e-05
24_model,,,,,,,,hydrogen_bromine_ode.csv,hydrogen_bromine,1e2,202630.7170037328,0.004043336833529763,0.0
157_model,,,,,,,,hydrogen_bromine_ode.csv,hydrogen_bromine,1e2,2.8317284209433966e-06,3.301703102308238e-06,0.01
124_model,,,,,,,,hydrogen_bromine_ode.csv,hydrogen_bromine,1e2,99.94844112826969,4.995812711851579e-06,0.001
22_model,,,,,,,,hydrogen_bromine_ode.csv,hydrogen_bromine,1e2,795261.8231250104,0.01586752352583566,0.0
146_model,,,,,,,,hydrogen_bromine_ode.csv,hydrogen_bromine,1e2,8.575795876872198e-05,9.440619113735458e-07,0.001
27_model,,,,,,,,hydrogen_bromine_ode.csv,hydrogen_bromine,1e2,927.8933539638202,0.055548591807154254,0.0
45_model,,,,,,,,hydrogen_bromine_ode.csv,hydrogen_bromine,1e2,0.00034364078868532217,0.007180389990094034,1e-06
58_model,,,,,,,,hydrogen_bromine_ode.csv,hydrogen_bromine,1e2,6002.28238334061,0.00022303628790345937,1e-06
97_model,,,,,,,,hydrogen_bromine_ode.csv,hydrogen_bromine,1e2,2.8317284209433966e-06,3.301703102308238e-06,0.0001
137_model,,,,,,,,hydrogen_bromine_ode.csv,hydrogen_bromine,1e2,147895.6008985279,1.7210347976595495e-05,0.001
139_model,,,,,,,,hydrogen_bromine_ode.csv,hydrogen_bromine,1e2,2.206398496897977,6.550444410687666e-05,0.001
85_model,,,,,,,,hydrogen_bromine_ode.csv,hydrogen_bromine,1e2,6.170375743661441,0.09508538688996053,1e-05
127_model,,,,,,,,hydrogen_bromine_ode.csv,hydrogen_bromine,1e2,2.8317284209433966e-06,3.301703102308238e-06,0.001
197_model,,,,,,,,hydrogen_bromine_ode.csv,hydrogen_bromine,1e2,147895.6008985279,1.7210347976595495e-05,0.1
166_model,,,,,,,,hydrogen_bromine_ode.csv,hydrogen_bromine,1e2,19.922733052162783,4.4449784710683543e-07,0.01
207_model,,,,,,,,hydrogen_bromine_ode.csv,hydrogen_bromine,1e2,927.8933539638202,0.055548591807154254,0.1
1_model,,,,,,,,hydrogen_bromine_ode.csv,hydrogen_bromine,1e2,286.52162191429545,3.323668111696107e-07,0.0
163_model,,,,,,,,hydrogen_bromine_ode.csv,hydrogen_bromine,1e2,13655.209039314652,0.034701335910491224,0.01
154_model,,,,,,,,hydrogen_bromine_ode.csv,hydrogen_bromine,1e2,99.94844112826969,4.995812711851579e-06,0.01
70_model,,,,,,,,hydrogen_bromine_ode.csv,hydrogen_bromine,1e2,0.0690545431362753,5.278230456536132e-05,1e-05
149_model,,,,,,,,hydrogen_bromine_ode.csv,hydrogen_bromine,1e2,0.05682963421204889,2.621017928780525e-05,0.001
61_model,,,,,,,,hydrogen_bromine_ode.csv,hydrogen_bromine,1e2,286.52162191429545,3.323668111696107e-07,1e-05
57_model,,,,,,,,hydrogen_bromine_ode.csv,hydrogen_bromine,1e2,927.8933539638202,0.055548591807154254,1e-06
121_model,,,,,,,,hydrogen_bromine_ode.csv,hydrogen_bromine,1e2,286.52162191429545,3.323668111696107e-07,0.001
65_model,,,,,,,,hydrogen_bromine_ode.csv,hydrogen_bromine,1e2,0.009808669434503627,0.0039522808482593125,1e-05
184_model,,,,,,,,hydrogen_bromine_ode.csv,hydrogen_bromine,1e2,99.94844112826969,4.995812711851579e-06,0.1
147_model,,,,,,,,hydrogen_bromine_ode.csv,hydrogen_bromine,1e2,927.8933539638202,0.055548591807154254,0.001
31_model,,,,,,,,hydrogen_bromine_ode.csv,hydrogen_bromine,1e2,286.52162191429545,3.323668111696107e-07,1e-06
104_model,,,,,,,,hydrogen_bromine_ode.csv,hydrogen_bromine,1e2,1.035332122467128e-06,6.461810446057677e-06,0.0001
19_model,,,,,,,,hydrogen_bromine_ode.csv,hydrogen_bromine,1e2,2.206398496897977,6.550444410687666e-05,0.0
172_model,,,,,,,,hydrogen_bromine_ode.csv,hydrogen_bromine,1e2,795261.8231250104,0.01586752352583566,0.01
88_model,,,,,,,,hydrogen_bromine_ode.csv,hydrogen_bromine,1e2,6002.28238334061,0.00022303628790345937,1e-05
79_model,,,,,,,,hydrogen_bromine_ode.csv,hydrogen_bromine,1e2,2.206398496897977,6.550444410687666e-05,1e-05
102_model,,,,,,,,hydrogen_bromine_ode.csv,hydrogen_bromine,1e2,0.24676368684401048,0.0003338180205189919,0.0001
7_model,,,,,,,,hydrogen_bromine_ode.csv,hydrogen_bromine,1e2,2.8317284209433966e-06,3.301703102308238e-06,0.0
204_model,,,,,,,,hydrogen_bromine_ode.csv,hydrogen_bromine,1e2,202630.7170037328,0.004043336833529763,0.1
182_model,,,,,,,,hydrogen_bromine_ode.csv,hydrogen_bromine,1e2,188.19349978921883,0.0012137587328424069,0.1
159_model,,,,,,,,hydrogen_bromine_ode.csv,hydrogen_bromine,1e2,2466.160386850043,0.010342237509875594,0.01
125_model,,,,,,,,hydrogen_bromine_ode.csv,hydrogen_bromine,1e2,0.009808669434503627,0.0039522808482593125,0.001
98_model,,,,,,,,hydrogen_bromine_ode.csv,hydrogen_bromine,1e2,0.01888717029071998,1.6969191344518737e-07,0.0001
170_model,,,,,,,,hydrogen_bromine_ode.csv,hydrogen_bromine,1e2,0.0015436272481452666,0.0005076315792529729,0.01
100_model,,,,,,,,hydrogen_bromine_ode.csv,hydrogen_bromine,1e2,0.0690545431362753,5.278230456536132e-05,0.0001
190_model,,,,,,,,hydrogen_bromine_ode.csv,hydrogen_bromine,1e2,0.0690545431362753,5.278230456536132e-05,0.1
73_model,,,,,,,,hydrogen_bromine_ode.csv,hydrogen_bromine,1e2,13655.209039314652,0.034701335910491224,1e-05
101_model,,,,,,,,hydrogen_bromine_ode.csv,hydrogen_bromine,1e2,7.986077504186377e-06,1.225378847302896e-07,0.0001
153_model,,,,,,,,hydrogen_bromine_ode.csv,hydrogen_bromine,1e2,2.7039662430093773e-05,1.1263537238115918e-05,0.01
42_model,,,,,,,,hydrogen_bromine_ode.csv,hydrogen_bromine,1e2,0.24676368684401048,0.0003338180205189919,1e-06
41_model,,,,,,,,hydrogen_bromine_ode.csv,hydrogen_bromine,1e2,7.986077504186377e-06,1.225378847302896e-07,1e-06
208_model,,,,,,,,hydrogen_bromine_ode.csv,hydrogen_bromine,1e2,6002.28238334061,0.00022303628790345937,0.1
200_model,,,,,,,,hydrogen_bromine_ode.csv,hydrogen_bromine,1e2,0.0015436272481452666,0.0005076315792529729,0.1
82_model,,,,,,,,hydrogen_bromine_ode.csv,hydrogen_bromine,1e2,795261.8231250104,0.01586752352583566,1e-05
49_model,,,,,,,,hydrogen_bromine_ode.csv,hydrogen_bromine,1e2,2.206398496897977,6.550444410687666e-05,1e-06
109_model,,,,,,,,hydrogen_bromine_ode.csv,hydrogen_bromine,1e2,2.206398496897977,6.550444410687666e-05,0.0001
165_model,292848.95434126473,28985.042918368472,173621.40139606956,8674488.419571139,181741.6348115402,4548165652.446318,759586222.983226,hydrogen_bromine_ode.csv,hydrogen_bromine,1e2,0.00034364078868532217,0.007180389990094034,0.01
55_model,,,,,,,,hydrogen_bromine_ode.csv,hydrogen_bromine,1e2,6.170375743661441,0.09508538688996053,1e-06
114_model,,,,,,,,hydrogen_bromine_ode.csv,hydrogen_bromine,1e2,202630.7170037328,0.004043336833529763,0.0001
186_model,,,,,,,,hydrogen_bromine_ode.csv,hydrogen_bromine,1e2,13.053743027024927,0.00010098468450572415,0.1
175_model,,,,,,,,hydrogen_bromine_ode.csv,hydrogen_bromine,1e2,6.170375743661441,0.09508538688996053,0.01
29_model,,,,,,,,hydrogen_bromine_ode.csv,hydrogen_bromine,1e2,0.05682963421204889,2.621017928780525e-05,0.0
194_model,,,,,,,,hydrogen_bromine_ode.csv,hydrogen_bromine,1e2,1.035332122467128e-06,6.461810446057677e-06,0.1
56_model,,,,,,,,hydrogen_bromine_ode.csv,hydrogen_bromine,1e2,8.575795876872198e-05,9.440619113735458e-07,1e-06
112_model,,,,,,,,hydrogen_bromine_ode.csv,hydrogen_bromine,1e2,795261.8231250104,0.01586752352583566,0.0001
110_model,,,,,,,,hydrogen_bromine_ode.csv,hydrogen_bromine,1e2,0.0015436272481452666,0.0005076315792529729,0.0001
